"region","name","initial","min","max","integer","include","key"
NA,"alpha_admission",0.0829740482054681,0,1,FALSE,TRUE,"alpha_admissionNA"
NA,"alpha_D",0.528556525361461,0,1,FALSE,TRUE,"alpha_DNA"
NA,"alpha_death_hosp",0.0389638501161002,0,1,FALSE,TRUE,"alpha_death_hospNA"
NA,"alpha_H",0.0589366814327966,0,1,FALSE,TRUE,"alpha_HNA"
"east_of_england","beta1",0.102796168981303,0,1,FALSE,TRUE,"beta1east_of_england"
"london","beta1",0.0754175520952823,0,1,FALSE,TRUE,"beta1london"
"midlands","beta1",0.0951846566242839,0,1,FALSE,TRUE,"beta1midlands"
"north_east_and_yorkshire","beta1",0.125234960345765,0,1,FALSE,TRUE,"beta1north_east_and_yorkshire"
"north_west","beta1",0.0946282207977424,0,1,FALSE,TRUE,"beta1north_west"
"south_east","beta1",0.0807852301986376,0,1,FALSE,TRUE,"beta1south_east"
"south_west","beta1",0.0870444460434925,0,1,FALSE,TRUE,"beta1south_west"
"east_of_england","beta10",0.0495499238480121,0,1,FALSE,TRUE,"beta10east_of_england"
"london","beta10",0.051991322559034,0,1,FALSE,TRUE,"beta10london"
"midlands","beta10",0.0527553008634149,0,1,FALSE,TRUE,"beta10midlands"
"north_east_and_yorkshire","beta10",0.0448961849203857,0,1,FALSE,TRUE,"beta10north_east_and_yorkshire"
"north_west","beta10",0.0462039728756722,0,1,FALSE,TRUE,"beta10north_west"
"south_east","beta10",0.0533957214688157,0,1,FALSE,TRUE,"beta10south_east"
"south_west","beta10",0.0510474106827148,0,1,FALSE,TRUE,"beta10south_west"
"east_of_england","beta11",0.0427426796081878,0,1,FALSE,TRUE,"beta11east_of_england"
"london","beta11",0.0439390579057599,0,1,FALSE,TRUE,"beta11london"
"midlands","beta11",0.0429756138705534,0,1,FALSE,TRUE,"beta11midlands"
"north_east_and_yorkshire","beta11",0.0466280866536081,0,1,FALSE,TRUE,"beta11north_east_and_yorkshire"
"north_west","beta11",0.0409871671177247,0,1,FALSE,TRUE,"beta11north_west"
"south_east","beta11",0.0414776359474307,0,1,FALSE,TRUE,"beta11south_east"
"south_west","beta11",0.0442060322633419,0,1,FALSE,TRUE,"beta11south_west"
"east_of_england","beta12",0.0372041659866928,0,1,FALSE,TRUE,"beta12east_of_england"
"london","beta12",0.0410762895240153,0,1,FALSE,TRUE,"beta12london"
"midlands","beta12",0.0379597064611778,0,1,FALSE,TRUE,"beta12midlands"
"north_east_and_yorkshire","beta12",0.0362929726887294,0,1,FALSE,TRUE,"beta12north_east_and_yorkshire"
"north_west","beta12",0.0338709079514462,0,1,FALSE,TRUE,"beta12north_west"
"south_east","beta12",0.0364204726765178,0,1,FALSE,TRUE,"beta12south_east"
"south_west","beta12",0.0345420041775185,0,1,FALSE,TRUE,"beta12south_west"
"east_of_england","beta13",0.0386679065890964,0,1,FALSE,TRUE,"beta13east_of_england"
"london","beta13",0.0420207111597935,0,1,FALSE,TRUE,"beta13london"
"midlands","beta13",0.037762400934105,0,1,FALSE,TRUE,"beta13midlands"
"north_east_and_yorkshire","beta13",0.0369149696904952,0,1,FALSE,TRUE,"beta13north_east_and_yorkshire"
"north_west","beta13",0.0451147712031385,0,1,FALSE,TRUE,"beta13north_west"
"south_east","beta13",0.0336951118581404,0,1,FALSE,TRUE,"beta13south_east"
"south_west","beta13",0.0329868688328551,0,1,FALSE,TRUE,"beta13south_west"
"east_of_england","beta14",0.0371176816272796,0,1,FALSE,TRUE,"beta14east_of_england"
"london","beta14",0.0435852184447781,0,1,FALSE,TRUE,"beta14london"
